"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0131",0,1,8,1,4,0,5,4,1,6,5,4,5,0,0,7,1,9,4,8,7,1,2,0,3,3,11,3,2,10,3,7,1,8,6,2,4,5,1,10,39,17,59,29,52,55,43,43,44,19,23,26,14,39,26,21,31,36,50,23,22,36,37,49,24,39,32,23,40,23,19,30,17,30,23,25,34,34,47,55,3,2,0,1,4,0,6,9,2,1,1,2,13,1,1,3,4,10,8,4,17,0,0,1,0,8,4,0,7,8,0,0,3,19,5,1,4,6,1,3,0,0,3,9,3,5,11,3,1,0,3,10,3,2,10,4,3,1,1,2,3,18,2,10,7,0,8,1,2,0,0,6,11,2,5,1,0,1,2,10,2,7,4,0,2,1,5,2,6,7,7,21,8,3,0,5,6,6,1,1,3,6,8,3,18,5,7,4,2,14,2,1,15,4,10,1,11,0,0,0
"cell0132",1,1,2,5,3,1,1,7,2,10,2,6,1,0,0,3,0,13,9,8,3,3,1,0,3,3,10,5,3,3,3,3,7,20,2,0,5,9,0,12,39,27,49,39,36,52,34,30,40,29,31,28,13,44,40,25,30,44,63,21,17,40,29,41,26,43,30,26,49,40,21,26,16,34,24,32,25,41,47,68,3,4,1,1,3,1,8,6,1,2,3,1,13,0,1,1,9,5,3,8,20,0,0,1,0,8,4,0,20,10,1,2,2,9,7,4,2,6,2,6,0,1,6,23,3,4,13,0,3,7,1,11,2,2,19,1,0,6,3,1,0,8,1,8,8,2,8,1,6,1,0,7,7,0,6,2,4,2,5,2,4,6,1,2,1,8,3,6,5,8,4,17,4,6,0,3,0,5,5,1,2,9,2,3,22,5,2,8,5,2,1,5,12,2,5,0,11,2,0,0
"cell0133",4,0,0,2,3,0,7,7,1,6,5,8,5,3,1,8,5,14,4,8,9,2,1,0,2,3,11,8,9,5,6,2,2,12,7,0,5,4,1,11,38,20,62,20,45,57,30,43,28,20,34,26,16,44,40,34,40,35,65,21,26,39,33,44,18,43,33,37,57,37,9,29,16,34,30,28,24,32,46,51,0,3,2,4,1,1,8,6,1,2,1,3,22,0,0,6,6,7,4,9,19,1,1,6,0,9,6,0,12,7,2,0,2,14,4,6,7,9,0,2,0,0,8,10,3,4,8,2,7,8,3,11,5,5,14,4,1,9,0,2,2,17,1,5,4,1,11,0,2,0,0,5,11,2,5,4,1,5,1,5,2,4,5,1,3,4,7,6,5,7,5,25,2,4,0,3,3,3,2,4,5,4,2,2,12,3,5,6,2,7,1,2,19,6,7,0,7,0,0,2
"cell0134",1,2,4,1,4,0,1,7,8,14,2,7,3,0,1,5,1,18,13,12,4,1,5,0,4,1,10,6,2,1,3,6,6,11,5,0,4,11,0,9,46,23,49,24,43,54,26,34,39,24,22,24,12,41,46,22,28,24,49,17,19,31,43,36,30,49,25,33,37,42,21,33,15,36,34,30,25,27,49,60,2,4,1,2,5,2,8,9,3,3,2,1,10,3,1,4,1,13,8,10,12,1,0,0,0,5,9,0,10,4,1,0,2,18,8,3,3,5,2,3,0,0,8,16,4,6,9,2,3,4,0,17,1,5,21,3,0,3,1,2,2,17,2,4,5,0,8,0,7,1,0,14,5,0,7,2,1,0,3,5,2,5,6,1,2,3,3,10,4,8,6,21,8,6,0,3,3,4,5,6,6,5,2,2,19,6,3,10,3,8,2,2,11,5,5,0,8,1,0,5
"cell0135",1,2,7,0,5,0,3,4,0,9,1,7,4,0,0,1,1,11,10,15,2,2,1,0,2,1,10,7,2,9,2,3,6,14,6,1,3,13,0,12,36,25,60,18,45,44,34,47,33,17,25,21,14,53,39,38,27,36,63,25,20,37,44,41,25,34,26,32,51,22,20,25,14,24,27,34,32,26,47,71,0,4,2,5,5,1,9,5,2,1,2,1,15,1,0,4,4,4,3,6,17,0,0,4,0,9,5,2,9,5,3,2,4,12,3,5,3,7,0,5,0,0,4,18,8,2,12,1,0,11,2,8,5,3,17,5,3,2,3,1,0,7,1,7,7,1,7,0,7,0,0,4,16,2,2,5,4,1,0,7,3,7,3,2,1,11,11,8,4,6,6,29,10,8,0,2,2,3,9,1,3,4,3,3,15,4,3,6,3,12,0,1,14,4,3,0,15,0,0,1
"cell0136",3,0,2,3,5,1,4,6,3,12,3,6,7,4,0,6,2,13,12,10,9,0,2,0,2,4,12,3,6,2,3,5,5,11,7,0,1,13,1,9,42,26,49,27,45,64,31,34,28,19,35,27,18,33,45,26,27,47,74,14,15,40,48,42,20,52,36,36,48,29,15,21,21,35,27,33,29,31,48,56,1,5,0,1,11,1,15,12,0,4,0,0,13,1,2,4,11,5,3,6,16,0,0,2,3,11,10,0,7,7,0,0,7,9,1,2,2,7,0,9,0,0,3,18,4,3,5,0,5,8,2,13,2,4,13,4,0,6,2,2,0,10,1,8,6,0,10,1,4,0,1,12,6,2,6,3,7,3,4,4,2,3,4,6,1,2,4,4,1,2,2,25,6,6,0,3,3,6,1,5,1,6,4,4,19,4,4,6,6,7,3,4,12,3,2,2,9,0,1,1
"cell0137",0,3,10,4,6,0,3,6,4,9,4,6,4,0,0,8,2,7,15,8,14,0,1,0,2,1,13,3,2,1,3,2,3,8,8,0,2,6,0,12,30,21,50,23,42,65,32,37,32,18,20,22,12,44,43,33,27,41,57,22,21,43,42,39,26,52,36,27,45,26,12,29,13,38,28,30,30,36,54,60,2,5,1,3,5,1,9,7,2,3,8,0,14,4,3,4,4,10,3,6,18,1,0,2,0,7,3,0,13,4,3,1,3,12,4,4,4,9,1,3,1,0,4,7,4,6,6,0,4,11,1,9,2,4,13,11,2,9,0,1,1,7,6,9,7,1,11,0,2,1,0,7,6,0,5,4,3,3,3,9,2,7,4,2,2,6,5,3,2,12,2,24,2,3,0,6,2,5,4,4,1,7,5,2,17,5,2,2,1,11,5,0,20,3,5,1,12,0,0,1
"cell0138",1,2,4,4,2,3,4,6,2,12,5,7,4,0,2,7,2,12,11,9,12,3,2,1,2,3,9,8,2,3,5,5,3,7,9,0,4,8,0,7,38,23,52,26,28,68,34,42,35,16,23,30,13,59,49,35,30,32,62,20,14,46,37,47,28,62,32,39,45,34,17,17,19,37,35,41,29,32,37,57,0,3,0,5,5,0,3,4,0,4,8,0,9,2,2,7,3,3,5,13,12,0,0,4,2,10,7,0,9,10,1,1,1,14,5,5,4,8,1,7,0,0,9,11,1,5,13,2,4,9,3,6,3,4,17,8,0,7,2,2,3,19,3,12,4,3,11,0,7,0,0,5,14,3,5,2,2,3,5,3,1,8,4,5,3,4,12,3,5,6,2,17,2,9,0,6,1,6,3,5,2,5,5,4,17,2,4,7,4,10,4,2,8,7,3,0,9,1,0,1
"cell0139",0,2,4,6,7,2,4,6,5,6,7,5,5,2,0,8,1,12,8,8,10,0,2,0,1,0,10,6,3,6,3,4,4,11,6,0,3,7,0,10,34,16,57,23,48,51,42,36,35,18,28,27,17,42,36,22,25,31,51,15,22,26,58,49,30,47,34,24,44,34,16,30,25,30,31,33,28,25,50,66,3,5,1,2,9,2,7,3,1,0,1,0,7,0,2,1,1,5,4,7,15,1,0,3,2,11,5,0,9,8,1,0,3,19,5,4,3,4,0,4,1,0,6,15,1,4,8,3,4,5,2,15,4,2,16,5,1,4,0,5,2,14,1,10,5,2,4,4,3,0,0,5,12,4,1,0,1,2,2,5,7,4,4,1,1,3,2,1,3,8,6,24,1,1,0,5,1,12,4,7,2,5,6,6,15,2,5,6,3,10,0,3,20,4,8,1,4,1,0,1
"cell0140",0,0,8,5,1,0,0,3,5,13,6,6,4,0,1,3,6,8,3,4,8,2,0,0,4,0,9,5,3,2,5,3,3,9,7,0,3,2,0,8,29,22,46,19,54,48,27,54,30,21,25,27,17,45,41,23,28,28,56,22,15,20,35,60,30,42,33,30,45,33,14,35,27,32,25,30,29,36,67,62,2,5,0,0,4,2,8,7,2,2,2,2,14,1,1,2,9,12,11,5,17,0,0,2,0,10,6,2,14,5,1,1,5,14,8,3,9,5,2,5,0,0,5,19,4,1,7,4,1,4,4,12,2,6,11,2,2,3,4,1,2,16,4,2,8,2,7,0,5,2,0,7,7,5,8,4,4,3,5,4,3,5,5,5,2,5,9,3,6,10,1,24,2,5,0,2,1,0,5,2,1,6,4,3,18,2,2,3,1,3,5,1,14,6,4,0,4,4,0,2
"cell0141",2,1,3,1,3,1,3,3,3,10,4,10,5,0,1,3,0,16,7,7,8,1,0,0,7,3,11,3,5,5,4,5,5,9,4,0,3,11,0,5,40,20,53,23,43,51,35,42,38,17,29,34,17,50,46,17,33,32,66,22,21,44,29,34,34,47,19,45,49,29,15,29,19,32,20,29,35,39,40,66,0,3,0,5,4,2,10,3,0,3,1,1,10,2,5,2,8,13,6,6,25,1,0,3,0,4,6,2,12,11,1,1,3,6,3,2,8,3,0,7,0,0,5,9,8,4,10,3,5,2,1,12,1,2,6,10,0,6,0,0,2,13,5,8,6,0,11,0,6,0,2,8,6,3,4,4,5,4,1,7,1,4,4,2,0,1,5,4,4,11,4,26,4,5,0,7,0,1,4,1,2,4,4,5,17,2,2,1,3,5,1,1,9,6,3,0,12,2,0,1
"cell0142",0,2,3,0,1,0,1,6,3,14,3,6,3,2,0,2,0,13,6,10,9,1,2,0,2,3,13,5,3,2,2,4,1,16,7,1,6,5,1,8,32,28,39,21,42,62,30,30,34,20,33,29,21,43,44,26,31,28,54,18,18,29,38,46,31,42,37,29,55,28,14,24,19,36,32,40,34,30,55,75,1,5,1,4,5,1,6,1,0,4,2,1,17,3,2,8,6,13,4,7,18,0,0,2,0,8,3,2,7,6,1,2,4,13,4,5,1,3,0,0,0,0,4,15,1,5,9,3,5,6,3,10,3,1,19,3,0,7,1,3,0,15,2,13,5,1,13,1,5,2,0,9,9,1,6,2,3,0,2,4,3,5,1,4,1,5,9,0,10,7,5,22,4,4,0,4,4,5,4,3,2,4,5,5,16,3,1,10,4,4,0,1,16,2,4,1,11,1,0,2
"cell0143",1,2,4,4,4,2,2,6,6,5,3,8,4,0,0,4,3,9,18,16,13,0,3,0,3,1,10,2,1,4,2,5,2,11,5,2,1,8,0,11,35,20,58,32,37,46,39,50,35,25,28,22,20,47,37,30,36,33,64,27,15,36,45,52,19,40,34,38,53,19,13,25,19,33,28,34,26,27,54,63,1,2,3,0,3,3,7,5,1,6,1,0,11,2,2,2,2,9,5,5,24,0,0,0,0,3,1,0,10,11,1,1,2,6,4,5,4,5,0,3,0,0,2,18,1,3,9,1,5,4,2,12,2,6,19,7,2,5,0,1,0,17,4,6,0,2,10,0,4,1,0,11,5,1,3,5,5,2,1,9,2,2,2,2,2,4,13,5,2,7,4,14,6,8,0,7,2,4,2,2,4,7,5,4,23,8,3,2,8,7,1,1,14,6,10,1,7,1,0,1
"cell0144",2,2,9,2,2,2,2,6,2,6,2,4,3,2,0,3,1,10,8,9,7,1,0,1,1,5,9,1,4,3,4,0,3,10,7,0,1,8,0,7,25,29,69,25,28,60,31,46,34,27,28,24,14,50,42,27,39,39,65,15,18,31,38,42,35,55,28,36,41,36,17,30,14,26,31,16,29,43,48,68,1,3,0,2,5,2,8,7,0,3,5,0,11,2,1,4,2,7,6,8,16,1,0,4,0,11,5,0,7,11,0,1,4,14,6,5,2,8,2,4,0,1,4,18,3,2,9,1,2,7,4,9,6,4,15,5,3,5,0,1,1,13,2,8,6,3,13,1,4,2,1,1,10,2,8,4,1,0,1,2,2,11,10,2,1,4,3,7,4,6,4,19,2,4,0,5,2,5,1,5,4,8,3,4,14,2,4,7,3,9,1,0,16,6,5,0,12,1,0,0
"cell0145",0,1,5,3,2,1,2,5,7,11,2,3,4,2,0,1,0,19,13,8,6,1,1,0,1,5,15,7,2,7,4,1,1,14,7,2,3,11,0,10,39,21,59,18,28,49,38,30,32,26,23,27,19,51,40,29,39,33,68,22,19,34,46,49,23,45,25,38,49,34,22,26,22,37,27,27,30,29,53,63,0,0,3,2,5,4,9,0,0,6,3,1,10,1,3,5,5,12,8,8,13,0,0,3,1,8,8,0,9,6,3,0,3,8,3,6,4,8,1,5,0,0,7,12,2,2,11,2,3,8,4,11,5,5,11,5,0,7,2,1,2,10,3,3,8,3,10,0,5,0,0,3,7,2,4,2,4,3,3,8,6,12,4,3,3,1,9,2,3,5,3,25,5,3,0,2,3,2,4,3,3,8,2,3,23,4,5,4,4,7,2,1,14,2,3,0,8,2,0,0
"cell0146",3,2,5,1,2,1,1,5,3,11,6,6,2,1,0,4,2,8,12,7,8,1,3,0,1,6,9,3,2,8,6,4,2,11,2,1,2,13,0,11,32,20,55,28,50,41,40,48,36,18,20,26,23,52,42,22,29,36,64,25,20,39,38,52,18,46,27,33,35,36,11,33,17,32,32,20,43,38,49,56,0,2,0,4,2,2,8,7,3,5,2,1,7,0,1,2,4,8,8,9,20,1,0,0,1,8,8,0,11,7,3,1,1,13,4,3,4,5,0,4,0,1,4,17,2,3,5,0,3,1,3,7,3,4,13,7,4,3,2,0,2,9,2,10,4,3,8,2,3,0,0,5,7,0,6,3,2,5,3,3,1,7,0,2,2,4,1,4,3,5,4,16,5,6,0,3,9,8,2,7,1,7,6,5,11,2,7,6,0,5,2,1,14,4,4,0,8,2,0,2
"cell0147",2,1,4,0,2,0,2,4,1,12,1,9,6,0,0,7,1,7,4,13,10,0,3,0,5,6,8,5,3,5,3,4,3,14,17,1,5,7,0,10,29,22,71,23,33,58,24,46,30,30,27,38,12,42,41,30,30,38,55,20,17,33,32,42,21,47,24,24,54,35,20,29,18,29,25,37,29,30,40,64,1,3,2,7,5,1,10,10,0,3,3,1,8,0,3,5,2,6,10,3,14,0,0,2,0,5,5,0,12,4,2,3,1,8,9,6,3,3,0,3,0,0,5,11,1,6,15,0,4,8,4,22,3,2,12,4,1,7,1,3,0,23,2,8,3,3,13,0,6,0,3,10,7,2,5,5,1,3,1,9,4,4,5,3,2,4,6,4,5,8,2,23,5,5,0,1,2,3,3,5,4,2,2,8,13,4,2,8,3,8,2,2,15,7,2,0,5,2,0,4
"cell0148",0,1,2,0,3,1,1,5,3,6,6,3,7,1,1,2,1,13,10,8,8,1,1,1,4,5,14,5,6,5,3,3,1,8,5,0,5,6,1,10,39,24,58,30,48,58,34,34,27,17,19,19,13,43,38,29,30,31,54,21,12,33,41,57,23,53,34,32,43,27,15,24,14,35,32,23,30,31,51,55,1,1,1,4,7,2,11,10,3,6,6,0,12,1,2,5,6,4,5,6,9,0,0,1,0,7,5,1,13,11,0,0,1,11,3,1,4,9,0,4,1,0,4,12,4,5,5,1,4,4,1,16,3,6,16,2,3,2,3,0,2,11,2,14,11,2,7,0,2,0,0,5,7,0,6,1,2,2,6,4,4,4,2,3,3,9,2,10,3,11,4,24,8,5,0,3,2,2,5,5,5,2,4,1,8,2,2,6,3,15,2,2,13,4,6,0,9,3,0,3
"cell0149",1,0,5,2,4,1,3,7,3,4,2,10,6,0,0,8,1,6,2,15,10,2,0,0,3,2,11,2,4,5,8,4,2,9,7,0,3,10,0,12,35,24,46,23,42,58,28,36,27,22,34,35,15,41,39,34,24,32,56,17,18,37,49,26,29,39,44,34,39,24,10,28,24,27,25,36,30,36,48,61,1,3,0,2,0,1,4,7,1,6,6,2,9,2,0,2,2,6,5,10,13,0,0,2,2,11,3,1,9,4,1,2,2,14,9,3,5,5,0,7,1,0,4,12,4,7,6,1,5,5,4,6,1,3,17,5,0,3,3,2,1,9,1,12,3,3,11,0,3,2,1,12,13,0,4,5,5,2,1,3,5,6,2,2,2,5,4,2,3,11,4,17,2,3,0,4,3,3,2,5,1,6,2,5,13,7,2,2,3,10,0,3,15,5,5,1,12,4,0,7
"cell0150",1,1,10,0,7,0,2,4,4,12,6,2,5,0,0,6,2,14,3,12,10,2,0,0,6,3,12,3,3,4,7,4,2,18,5,0,2,7,0,7,29,27,56,25,33,53,29,32,25,23,35,25,17,45,45,29,34,27,59,14,11,32,30,47,27,44,35,32,43,24,6,35,16,32,27,37,27,33,62,55,1,5,0,5,3,0,6,9,0,4,1,3,13,2,1,6,5,8,4,4,19,1,1,2,0,11,3,0,13,21,1,3,3,8,10,2,1,6,0,2,0,1,3,16,5,4,6,0,6,2,3,9,2,4,7,2,1,4,0,1,2,14,3,8,8,0,11,1,7,0,0,4,7,2,2,0,2,2,2,5,0,7,4,2,0,2,5,4,1,8,6,20,4,7,0,2,2,7,2,3,1,10,2,7,16,2,1,4,3,9,0,2,11,5,5,0,11,1,0,1
"cell0151",0,0,0,1,3,0,3,2,1,7,9,7,5,1,0,7,1,11,13,10,7,1,2,0,6,3,11,6,3,3,4,2,2,14,9,0,1,4,0,16,37,24,52,25,36,56,32,29,27,21,19,18,11,48,51,29,31,32,58,22,17,28,46,44,19,45,30,30,58,23,10,34,20,19,31,39,21,23,48,71,2,4,3,2,5,2,6,5,0,1,2,2,13,2,2,3,5,5,8,5,16,0,0,2,1,8,6,1,15,3,3,1,4,5,5,7,9,4,1,4,0,0,7,12,3,7,4,3,2,6,0,11,6,4,14,8,3,8,0,1,0,14,5,12,4,4,8,1,7,1,0,10,9,1,5,0,1,3,2,5,3,9,9,2,0,3,7,2,5,8,4,21,3,4,0,4,0,4,3,5,0,6,1,3,13,3,3,4,1,12,2,2,14,6,9,0,9,3,0,0
"cell0152",0,2,6,2,3,4,5,6,2,15,4,8,5,2,1,5,1,10,12,10,10,0,3,0,3,4,17,6,5,2,3,3,2,6,6,0,4,5,0,11,34,21,52,24,38,55,30,47,23,16,17,33,17,50,41,32,37,40,63,20,22,30,43,49,28,49,35,38,42,32,17,26,20,30,29,36,26,33,57,68,1,4,4,0,6,0,8,12,1,8,6,3,12,3,2,2,10,9,5,7,13,1,0,1,1,3,6,0,12,8,1,1,3,9,4,7,3,7,0,3,0,0,2,20,6,3,11,1,5,5,1,11,1,6,15,3,1,2,2,2,1,13,1,7,3,1,8,2,8,1,0,8,9,3,6,3,4,3,2,3,0,7,2,2,2,3,7,4,4,6,6,23,3,4,0,3,2,2,4,5,5,4,9,3,11,3,2,4,1,9,1,1,16,2,6,0,8,1,0,2
"cell0153",0,0,7,5,6,0,4,6,6,7,0,10,6,0,0,7,0,18,12,10,8,1,2,0,3,1,14,6,4,3,5,4,5,12,7,0,2,9,0,17,23,18,67,22,29,61,41,40,36,19,27,21,15,48,44,27,34,43,53,17,9,30,37,54,21,45,28,28,44,31,19,35,20,33,25,23,37,37,57,64,1,4,0,0,5,4,9,2,2,7,6,2,14,0,3,5,2,9,2,7,12,1,0,2,2,6,4,1,7,8,1,2,3,8,4,3,0,5,0,4,0,0,4,14,4,6,8,2,1,9,1,14,3,3,10,5,1,2,3,1,0,8,3,8,2,2,10,1,4,1,1,5,3,1,5,3,7,1,2,3,5,7,3,3,4,1,7,2,4,8,5,22,3,3,0,5,1,1,4,4,1,6,7,7,14,6,2,4,2,7,4,0,11,5,3,0,11,1,0,2
"cell0154",4,1,7,1,4,2,1,5,5,6,4,8,4,0,0,8,1,14,8,11,13,3,2,0,4,1,6,7,1,4,4,4,4,18,6,0,3,9,1,8,43,29,69,29,34,68,42,38,40,15,28,29,12,38,50,29,46,26,59,20,18,38,51,52,33,45,40,30,54,34,17,40,15,27,27,33,23,27,50,73,3,6,0,6,4,0,5,6,0,5,1,1,14,1,2,3,2,7,6,8,11,1,0,4,1,9,6,1,15,8,0,1,0,7,5,5,4,3,0,2,0,0,3,10,2,6,8,4,2,8,2,13,5,7,9,3,1,6,3,2,0,14,5,12,7,2,10,0,0,4,0,9,4,4,3,5,1,2,4,7,3,4,5,2,2,6,9,9,3,7,2,13,7,3,0,0,3,2,5,3,1,5,10,4,15,1,1,3,2,8,0,1,16,2,1,0,15,0,0,3
"cell0155",0,1,7,2,6,2,2,4,1,8,1,9,7,0,0,5,2,14,12,12,10,2,3,0,2,6,11,4,2,2,6,1,6,11,11,0,3,8,0,8,34,24,48,33,42,48,40,25,26,19,34,29,19,48,39,24,32,27,58,16,20,38,39,44,18,46,32,25,56,27,13,24,21,24,26,35,27,41,56,56,1,2,0,4,3,0,7,6,2,6,3,0,10,1,2,2,2,10,8,5,14,1,0,3,0,11,4,0,9,15,1,0,3,16,7,4,5,8,1,1,1,1,4,16,2,5,13,2,5,4,3,13,3,8,15,9,0,4,3,0,1,18,0,15,6,2,11,0,5,1,0,14,6,1,2,2,1,1,3,1,4,4,4,1,1,3,3,3,6,10,6,14,8,5,0,2,2,6,4,4,5,6,5,5,15,2,2,8,2,5,3,2,11,7,1,1,10,2,0,1
"cell0156",0,1,3,4,4,1,0,4,3,9,5,6,2,2,1,6,0,6,4,3,13,2,3,1,4,2,9,2,3,5,4,2,1,14,8,0,1,6,1,9,36,27,60,41,49,47,39,38,37,18,26,27,23,40,43,24,38,26,82,20,17,28,41,46,25,55,29,20,50,42,15,28,21,27,25,43,30,28,51,60,3,5,1,5,8,2,10,6,0,3,0,2,10,3,3,3,1,11,4,9,14,0,0,4,2,10,5,0,8,15,1,2,1,15,7,3,5,4,0,9,0,1,2,14,6,5,6,0,5,3,1,17,3,4,11,3,1,6,1,2,0,11,4,9,5,0,11,1,2,1,0,10,8,3,5,3,1,3,7,6,1,4,3,2,1,2,5,5,2,12,5,23,4,2,0,3,0,2,2,2,1,1,3,5,9,1,2,5,5,5,0,1,12,1,4,0,7,0,0,2
"cell0157",0,2,6,2,3,1,2,4,3,11,6,10,7,0,0,5,2,10,13,4,4,0,3,0,3,3,22,2,2,6,4,5,2,8,6,1,3,10,1,7,32,31,48,31,50,70,28,39,24,26,25,37,10,38,36,31,47,38,61,23,17,35,41,44,14,45,32,32,50,35,16,24,22,32,27,41,31,28,42,65,1,7,1,6,9,0,10,4,3,3,1,0,19,3,4,4,6,12,5,6,20,2,0,3,0,7,4,0,7,10,1,0,3,9,5,5,0,4,0,4,0,1,6,15,3,6,14,5,7,4,2,7,1,7,11,6,1,3,2,1,0,16,3,8,10,0,10,1,3,0,2,9,10,2,4,0,2,0,4,7,3,7,3,2,1,5,5,3,10,6,5,15,6,6,0,7,2,2,1,6,4,8,5,5,16,4,2,7,2,6,3,2,8,1,4,0,8,1,0,3
"cell0158",2,2,1,2,2,0,1,8,3,9,0,8,7,0,0,5,2,14,11,11,8,0,1,1,6,0,7,4,5,2,2,4,3,13,6,1,2,10,0,7,37,26,50,29,51,55,34,37,25,28,28,21,16,32,56,27,30,46,72,14,11,32,34,44,28,39,24,38,45,32,12,26,16,40,23,35,33,42,51,60,1,2,0,4,5,2,7,11,1,3,5,0,13,2,2,2,4,17,4,6,20,0,1,1,1,6,7,2,12,5,0,1,3,11,4,2,4,0,1,7,0,0,3,10,4,5,11,2,1,9,2,14,4,4,12,2,2,2,2,0,0,7,3,15,3,1,10,1,4,0,0,7,6,0,3,1,2,0,0,10,1,5,2,3,0,4,6,6,5,8,6,22,5,5,1,3,6,2,6,4,1,6,3,3,10,2,2,7,2,10,2,1,8,3,7,0,6,3,0,5
"cell0159",1,0,4,2,5,1,2,4,4,9,2,6,1,0,0,3,1,6,9,8,6,3,1,0,3,4,17,3,5,2,5,2,3,21,8,0,2,2,1,11,30,21,45,26,36,46,26,39,32,21,28,39,13,42,43,32,30,33,60,28,18,40,39,43,23,49,27,32,42,24,20,29,15,36,26,33,39,43,65,61,1,4,0,3,5,4,7,5,1,3,1,2,13,2,1,5,3,7,7,5,18,0,0,1,0,9,5,0,9,5,0,1,6,19,0,1,6,5,1,3,1,0,9,14,4,6,10,5,3,9,2,10,5,3,11,5,0,6,0,4,0,13,1,4,5,0,14,0,2,0,0,8,8,0,5,2,3,3,2,4,5,9,4,0,0,6,4,7,9,6,9,35,6,5,0,4,2,6,5,4,3,7,2,3,12,3,3,7,1,5,1,3,7,7,4,1,8,2,0,2
"cell0160",1,2,3,0,2,1,2,4,3,10,1,9,8,0,0,7,3,12,7,10,8,2,1,0,3,3,12,4,5,6,6,3,3,14,4,0,3,9,1,11,25,30,48,21,33,73,41,37,36,19,30,29,7,48,47,28,38,30,79,30,19,36,36,40,26,50,26,36,57,27,22,26,14,27,22,34,38,35,49,62,0,5,2,5,6,0,9,4,1,6,1,1,12,0,3,5,8,14,8,7,13,2,0,2,0,4,9,1,8,6,2,2,3,10,6,4,3,7,1,8,0,0,2,7,5,5,9,3,4,5,4,14,2,2,7,5,2,6,2,1,2,13,3,9,5,1,8,0,3,1,0,5,10,4,4,1,5,1,2,3,3,7,2,1,1,1,6,6,6,7,2,16,6,5,0,3,3,2,6,2,5,3,4,2,14,2,6,9,0,6,4,1,12,4,6,0,7,3,0,2
"cell0161",0,1,6,1,3,1,1,6,3,6,7,4,6,0,0,8,1,13,5,11,6,2,4,0,2,2,7,9,3,5,3,3,7,12,9,1,6,13,1,9,40,31,43,34,33,56,41,36,35,27,25,26,23,50,35,29,30,28,58,30,16,29,34,41,29,50,29,38,41,28,13,25,13,34,22,34,29,32,48,54,0,10,3,6,6,3,11,3,1,5,1,1,13,1,2,2,5,9,6,4,11,0,1,5,0,8,3,0,13,6,2,1,1,4,4,4,0,5,1,6,1,0,5,14,1,7,9,3,4,1,0,9,3,3,5,4,0,10,0,1,1,10,2,10,6,1,6,0,2,0,1,4,9,2,1,5,3,1,1,6,3,3,5,0,0,5,5,7,3,3,6,22,6,5,0,2,3,2,4,8,4,4,6,3,13,2,1,2,3,6,4,2,11,6,4,0,8,2,0,3
"cell0162",1,2,1,3,4,1,1,7,8,4,4,8,2,0,1,4,0,17,12,6,6,2,1,1,2,4,9,6,3,2,4,2,2,18,15,0,5,11,0,14,34,27,53,23,33,54,39,32,36,17,29,25,19,37,43,24,43,29,60,20,22,36,37,44,26,53,21,31,38,27,13,28,18,28,31,35,34,31,60,62,1,4,1,4,5,1,7,5,2,6,1,2,11,0,8,4,2,7,3,8,14,0,0,1,1,4,0,0,9,6,1,1,5,12,4,8,1,3,0,5,0,0,4,8,6,9,15,0,4,5,2,16,5,5,10,3,0,2,2,0,1,12,2,14,4,0,5,1,6,0,1,15,10,1,4,3,4,3,0,2,1,13,0,2,2,4,2,2,3,5,4,33,4,7,0,2,0,5,3,2,0,6,5,6,12,2,1,5,1,8,2,1,13,4,5,0,12,1,0,2
