,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0276,11,16,22,1,1,1,25,1,1,1,1,4,7,2,7,7,0,3,1,4,2,3,7,10,2,7,20,8,1,4,4,3,4,6,4,9,0,6,1,3,109,2,0,8,0,8,1,5,1,8,9,7,311,5,1,1,229,2,3,21,149,0,2,11,1,11,4,5,22,4,1,4,5,6,0,4,8,2,0,4,2,6,7,1,1,2,0,6,3,19,1,17,1,189,24,11,3,1,4,6,5,9,37,33,7,6,5,6,6,0,2,11,2,3,32,3,6,5,1,5
CELL0277,2,1,1,4,0,1,1,26,6,3,3,6,0,0,3,13,0,3,3,1,1,1,3,2,1,4,1,5,2,3,1,2,1,3,1,4,2,4,20,2,0,1,1,1,1,4,8,4,2,2,19,3,1,2,1,0,1,1,5,1,0,1,6,0,3,7,1,3,0,1,2,4,0,7,10,2,3,0,2,5,1,5,3,0,3,1,0,3,2,2,2,11,6,1,0,1,4,3,1,3,3,2,8,12,4,0,1,5,5,10,1,7,16,6,2,0,1,19,9,6
CELL0278,9,0,0,3,1,2,2,14,11,1,3,1,0,0,1,1,7,1,0,1,1,1,1,2,2,1,1,1,0,7,2,16,1,1,1,4,11,1,155,1,0,4,3,2,2,10,16,4,2,1,10,3,0,2,0,0,0,3,2,0,0,5,0,6,9,2,5,1,0,0,1,1,0,1,56,3,4,0,2,2,0,3,5,1,5,6,2,1,2,5,0,10,39,0,0,1,3,3,0,1,4,1,4,7,2,2,0,0,11,67,12,5,61,3,1,0,2,6,20,0
CELL0279,8,6,4,4,7,2,4,6,0,0,0,0,3,3,2,1,0,0,0,2,1,4,2,2,5,6,5,0,1,5,4,3,1,1,1,2,0,4,1,3,10,4,6,3,0,2,0,2,0,8,2,5,365,0,2,0,3,0,4,30,5,2,0,10,3,0,1,0,11,2,0,17,3,2,0,1,10,27,0,1,0,10,6,6,1,6,1,1,0,31,1,24,0,10,2,7,9,2,1,1,8,1,6,9,3,1,3,2,5,1,6,5,1,2,17,2,2,4,25,5
CELL0280,4,0,1,7,3,3,11,14,9,2,17,3,1,4,4,10,2,3,5,4,1,2,9,3,3,5,4,2,4,0,1,8,2,0,1,4,3,1,10,1,3,3,3,4,4,8,4,8,3,3,23,2,5,0,2,1,4,2,6,3,0,3,19,2,5,3,3,6,1,2,1,0,0,2,6,5,9,0,11,3,2,4,3,2,2,3,8,4,4,4,1,1,26,2,3,1,5,2,4,3,7,38,6,5,1,1,4,3,2,11,7,13,13,9,6,2,3,10,4,4
CELL0281,2,0,3,11,0,31,0,23,12,6,14,3,2,1,6,2,8,8,3,1,2,8,10,10,1,4,4,5,3,4,4,5,2,1,5,6,89,5,60,5,0,4,2,1,3,4,28,14,1,11,56,5,1,1,3,2,89,2,8,0,2,5,59,15,4,9,4,5,0,0,1,0,0,30,45,17,1,0,2,6,5,7,7,1,2,2,5,0,8,4,0,4,281,1,0,0,0,3,0,3,4,51,3,2,1,1,0,4,5,14,4,9,28,6,1,5,1,16,1,7
CELL0282,7,10,2,4,11,2,7,11,0,1,16,2,0,2,3,3,0,2,2,5,3,8,7,3,0,6,6,2,0,4,4,1,3,0,2,3,0,2,4,3,5,5,1,3,1,8,10,1,4,5,3,10,71,2,15,0,0,0,1,16,2,0,28,2,3,0,4,1,0,3,1,9,1,2,1,4,0,5,7,1,4,1,1,1,0,3,1,4,5,48,0,22,2,11,1,5,10,4,2,3,4,0,45,41,2,0,2,4,3,3,11,29,3,7,1,8,2,8,80,0
CELL0283,0,10,16,9,1,5,6,2,15,11,2,23,8,1,3,2,0,5,2,2,0,4,13,4,2,1,1,3,0,4,3,2,6,1,2,8,0,3,1,1,22,0,1,0,4,3,0,5,1,4,136,4,64,8,0,5,126,1,9,38,25,8,1,19,6,3,11,5,17,2,5,8,1,5,2,13,72,0,13,2,4,6,7,0,2,1,12,2,6,0,2,12,2,14,15,3,10,1,3,2,5,511,5,1,0,2,5,5,5,0,5,4,3,2,51,8,4,5,0,9
CELL0284,10,0,1,8,5,0,19,37,3,1,0,6,11,1,7,2,0,5,1,3,5,4,7,11,2,4,17,2,0,4,1,1,4,3,8,3,0,4,6,0,6,2,1,5,0,32,89,7,1,6,0,6,7,8,74,0,0,6,7,29,18,0,401,1,15,4,1,5,7,2,0,33,1,10,0,2,0,98,0,1,0,4,6,10,3,39,0,4,2,71,1,81,0,11,0,36,4,2,2,3,5,0,234,213,0,2,27,7,6,7,4,41,3,3,0,30,0,7,554,2
CELL0285,25,1,1,4,0,1,1,20,1,6,3,5,1,1,1,1,0,5,3,1,4,7,6,2,2,3,0,1,0,9,1,2,1,0,0,7,2,3,17,2,1,2,4,4,0,8,8,2,3,6,5,2,11,6,3,0,2,3,8,6,0,2,12,2,8,2,2,4,0,2,1,3,0,0,8,1,2,0,1,5,3,0,6,0,4,3,2,1,1,1,0,4,6,0,1,0,4,3,2,11,4,0,12,12,1,0,2,4,5,13,4,14,18,7,1,2,0,6,4,2
CELL0286,4,1,2,3,1,1,4,2,0,1,3,10,0,1,1,2,0,2,1,1,0,0,2,3,3,0,0,2,2,1,1,2,0,3,0,1,0,3,1,1,20,0,4,2,3,4,0,1,0,8,6,0,8,2,0,1,30,0,4,2,14,1,0,2,3,3,2,5,0,0,0,1,0,6,0,1,7,0,4,0,0,2,2,1,2,1,3,0,6,2,0,10,1,3,1,6,3,1,1,1,4,60,3,1,0,3,4,2,2,0,2,2,2,1,9,6,2,1,0,3
CELL0287,16,5,1,9,4,4,12,2,2,1,1,1,4,1,1,6,0,7,1,10,3,5,4,10,0,11,10,6,0,7,1,1,0,15,2,4,0,7,1,4,218,5,3,5,2,4,1,5,5,1,9,5,66,2,3,0,77,1,5,12,151,1,8,7,6,3,0,3,25,2,1,23,3,14,0,7,1,4,0,1,0,10,3,3,4,2,0,2,10,13,1,21,0,113,5,30,1,3,1,3,4,25,19,52,2,2,10,10,9,0,7,4,1,2,20,19,5,11,3,3
CELL0288,2,2,3,6,0,5,7,3,1,0,3,2,7,1,3,3,2,1,4,1,0,4,4,4,0,6,3,0,1,10,3,1,1,2,1,6,2,3,3,2,4,2,2,2,0,3,0,5,3,2,11,4,23,2,1,1,17,1,7,1,1,2,2,3,3,2,6,4,1,1,3,2,0,1,2,2,15,0,17,7,3,1,9,1,4,0,5,4,4,1,1,10,13,0,9,0,2,1,0,1,3,138,1,4,2,0,0,4,3,1,3,2,7,0,11,1,1,4,0,4
CELL0289,0,0,1,14,0,1,2,2,9,7,14,13,0,1,0,4,253,11,2,0,2,2,2,1,2,3,0,1,1,0,0,24,1,1,1,1,235,0,152,3,0,2,1,3,13,1,11,2,0,2,8,1,0,1,0,6,3,4,0,0,1,41,1,6,0,1,14,3,0,2,12,0,0,0,261,3,32,0,58,3,0,2,4,0,1,1,45,4,2,0,0,1,251,0,1,0,2,0,1,1,8,100,0,0,0,2,0,3,2,258,0,2,119,5,0,1,0,7,1,1
CELL0290,16,2,1,4,1,3,0,3,0,3,2,3,1,3,4,4,1,1,2,5,2,4,8,5,11,5,2,6,2,10,4,15,7,5,3,1,8,3,23,8,0,3,6,5,0,15,14,5,2,7,6,6,5,5,3,1,0,3,15,1,1,1,9,0,7,4,4,4,0,3,0,6,0,2,12,2,8,0,0,0,0,7,3,1,1,9,0,3,3,15,3,4,7,0,1,1,8,2,3,2,5,7,4,11,0,2,1,2,1,23,2,6,50,1,1,2,6,2,28,5
CELL0291,6,0,2,19,6,3,16,14,2,2,5,28,1,4,7,6,3,17,7,2,3,10,6,6,2,3,2,5,1,5,4,15,2,13,1,10,4,6,40,3,3,3,5,5,7,36,152,3,1,7,10,9,1,9,9,9,1,3,4,3,1,8,59,0,7,5,0,9,1,7,1,5,1,20,4,7,1,0,0,3,2,9,9,5,1,8,2,12,6,27,10,7,20,2,0,0,14,4,1,3,14,1,18,8,0,5,2,2,13,48,3,27,46,7,0,15,5,4,85,4
CELL0292,0,4,18,37,1,9,0,1,2,3,16,2,1,3,3,1,9,3,8,5,2,12,13,5,4,8,0,3,3,9,3,6,1,5,0,7,38,6,2,7,0,1,1,6,8,4,14,3,6,0,15,3,2,5,1,6,3,4,3,0,0,11,6,4,11,3,7,3,1,0,6,1,0,2,39,6,10,0,18,6,3,13,9,0,5,13,20,2,7,2,2,6,40,0,0,2,5,3,2,0,6,38,5,3,1,3,0,7,2,12,10,5,40,8,4,0,0,7,1,1
CELL0293,4,0,1,8,0,1,2,0,2,2,14,2,0,1,2,1,6,4,0,0,1,1,2,0,0,4,0,1,1,3,3,6,4,4,1,4,15,3,10,1,0,1,1,0,2,2,0,2,2,2,86,3,7,0,0,2,245,0,4,0,0,19,4,10,1,1,5,0,1,1,2,0,1,1,1,0,107,0,14,3,0,1,5,0,0,0,6,2,5,0,1,0,79,0,20,0,3,2,1,1,1,259,0,0,0,0,0,1,2,0,1,4,9,1,70,0,2,1,0,8
CELL0294,2,3,6,2,1,0,0,2,17,3,5,0,0,2,1,3,9,7,2,1,2,4,4,6,2,8,3,2,10,2,2,6,3,1,0,0,39,1,16,0,0,3,1,10,2,0,0,10,1,3,4,4,10,13,0,4,4,4,2,0,0,7,0,8,6,0,0,1,0,1,2,0,5,0,48,2,65,0,3,1,2,3,2,1,1,3,4,3,3,4,3,8,35,0,5,0,1,4,1,2,6,43,8,1,1,1,0,4,5,3,4,3,47,5,10,2,3,2,2,1
CELL0295,2,5,0,2,0,1,3,18,0,0,2,8,1,3,3,4,0,6,1,4,2,2,10,3,3,7,3,0,0,6,1,0,1,0,2,3,0,1,7,2,4,0,1,2,1,5,1,4,1,4,8,2,18,3,1,0,2,0,3,10,9,0,4,2,2,0,1,3,4,1,0,3,0,18,1,9,3,0,3,0,1,4,2,5,6,2,0,2,1,15,3,10,0,4,3,7,1,5,5,0,3,8,1,25,2,0,1,5,0,1,7,6,7,1,1,4,0,3,13,0
CELL0296,2,8,2,1,1,3,15,1,2,1,3,2,8,1,0,1,0,4,3,1,0,2,4,0,0,7,2,0,2,2,3,1,4,0,1,2,0,10,0,0,12,1,0,3,1,2,0,1,0,3,62,2,8,3,2,0,95,1,8,36,15,3,5,0,2,3,0,1,5,0,1,3,0,6,0,0,5,0,1,1,0,2,4,2,0,0,3,4,2,0,1,1,1,38,8,1,2,2,2,5,3,100,0,0,2,1,0,3,4,0,2,2,0,3,14,0,4,14,0,5
CELL0297,0,0,4,7,0,10,5,2,2,4,0,6,1,1,1,2,1,5,3,2,3,2,2,5,0,4,1,0,0,5,1,3,2,1,0,3,1,2,10,3,0,1,3,2,1,7,0,6,2,2,9,2,1,6,0,4,18,2,6,1,0,0,4,11,7,3,0,6,1,0,2,2,1,2,2,3,43,0,6,4,0,6,7,3,0,2,0,3,7,3,2,1,18,1,1,0,3,1,1,2,1,72,0,6,0,5,0,2,10,3,2,11,26,1,8,0,2,6,0,4
CELL0298,2,4,3,17,3,5,0,6,5,1,4,1,1,3,3,6,7,3,4,0,0,2,4,5,3,2,2,1,2,6,1,2,1,2,0,1,8,2,35,0,0,2,1,2,8,6,18,11,3,3,37,3,0,2,2,5,16,2,2,1,1,10,9,3,3,9,3,4,2,0,1,0,0,3,2,3,5,0,23,2,0,0,7,0,1,1,101,1,20,1,2,5,133,2,0,0,4,0,1,1,4,16,0,1,3,3,0,5,6,7,4,14,36,5,1,2,1,5,1,2
CELL0299,0,0,10,2,0,0,2,0,12,2,5,4,1,0,0,5,15,1,2,1,0,8,2,4,1,2,0,2,2,4,4,12,1,0,0,0,23,2,8,3,0,2,2,0,9,3,1,4,0,2,50,2,1,1,0,13,289,1,4,1,0,5,0,18,2,1,6,3,1,4,7,0,0,4,2,5,125,0,36,1,0,5,3,0,0,0,11,0,6,0,0,0,102,0,10,0,2,3,2,0,1,309,0,1,5,1,0,1,5,0,4,3,6,8,20,0,2,4,0,0
CELL0300,3,0,0,0,4,2,2,13,0,2,7,8,4,1,0,2,0,3,1,1,1,0,2,5,2,1,3,6,3,9,2,1,2,3,1,0,1,5,17,2,0,2,5,3,2,5,7,1,1,2,3,10,0,0,7,0,0,1,4,3,1,4,23,0,2,2,4,5,3,1,1,2,0,2,5,2,0,7,1,1,2,8,6,1,1,35,2,3,6,32,3,11,2,1,0,3,2,6,3,1,7,0,13,8,1,4,8,0,2,2,5,10,7,1,0,17,1,2,20,3
CELL0301,5,10,12,5,0,11,0,0,4,15,24,1,0,2,1,1,14,3,8,1,3,1,7,4,2,3,0,1,4,3,2,2,1,5,1,8,26,4,7,1,0,3,3,2,5,3,0,5,0,3,12,6,4,1,0,8,15,3,0,4,0,13,1,7,5,2,6,5,2,2,3,2,1,0,24,4,61,1,23,5,0,11,0,1,2,1,19,1,3,1,1,0,27,0,3,0,1,3,0,0,3,53,0,0,3,1,0,2,2,0,2,4,3,6,12,4,3,1,1,0
CELL0302,5,0,2,2,0,0,4,2,12,1,45,0,5,1,1,2,0,6,4,0,0,3,5,6,2,3,0,3,2,1,0,0,2,1,0,5,1,5,2,2,6,3,7,3,3,4,0,3,0,2,8,3,4,1,1,4,49,1,5,20,3,8,0,1,4,5,3,1,2,1,3,0,2,0,1,0,3,1,6,0,0,4,4,0,2,0,10,2,1,0,2,0,10,6,7,0,6,2,0,2,3,15,0,0,2,3,2,2,5,2,3,7,2,4,12,2,1,3,1,0
CELL0303,5,24,1,1,1,7,28,0,1,1,2,3,89,1,1,4,0,1,0,1,1,0,2,4,1,2,4,2,5,4,2,1,0,2,1,2,0,0,0,1,172,3,1,3,2,0,0,2,3,0,0,1,274,3,0,0,61,1,2,175,262,1,1,4,0,1,1,1,227,0,0,1,35,1,0,1,9,258,1,1,0,2,1,1,2,0,0,2,2,3,0,11,0,251,74,242,2,0,1,2,0,4,18,12,2,5,55,0,2,0,1,2,0,4,144,7,0,3,0,0
CELL0304,5,11,1,1,42,1,9,1,1,2,3,0,4,0,1,3,0,7,1,1,2,1,5,1,3,5,5,2,4,4,2,2,1,3,1,2,1,6,0,5,5,2,2,1,0,1,0,2,1,6,0,2,286,1,3,0,0,3,1,9,4,2,0,1,3,0,0,2,4,1,0,29,48,2,2,1,3,322,3,3,13,3,5,1,3,82,0,1,2,51,3,13,0,0,1,56,4,1,1,1,2,0,14,28,1,1,1,1,2,1,2,1,0,4,5,2,2,0,169,0
CELL0305,6,0,0,1,1,3,5,1,1,0,6,2,39,2,0,2,0,4,2,1,1,2,3,3,2,4,0,0,7,1,2,0,1,4,0,2,0,1,0,0,28,5,3,1,5,0,0,2,2,6,2,0,38,2,0,0,5,0,1,55,18,2,0,1,0,2,2,3,90,3,0,1,18,0,0,2,31,24,6,0,0,1,2,2,2,1,1,3,2,5,3,5,1,39,5,24,1,1,2,1,0,9,1,7,0,2,3,3,1,0,3,0,0,1,23,3,1,2,0,2
CELL0306,3,16,4,5,0,7,11,6,0,1,3,4,18,1,1,2,0,5,1,0,2,4,15,5,4,1,6,0,4,12,3,0,2,2,0,5,0,7,0,1,160,4,1,3,1,2,0,4,2,4,4,5,23,3,0,1,32,2,3,71,163,2,2,1,3,2,4,0,272,0,1,3,1,1,0,3,8,8,2,1,1,6,8,1,1,1,3,3,1,6,0,4,0,122,6,39,3,3,2,2,5,14,2,11,2,1,30,6,10,0,5,5,2,7,10,10,0,16,1,6
CELL0307,1,1,11,16,1,8,1,0,4,7,10,12,2,0,0,2,24,7,0,1,0,2,11,1,0,5,1,0,14,8,3,22,4,1,4,3,164,3,2,3,0,0,5,2,13,2,0,3,2,5,3,0,4,1,0,9,6,3,9,2,1,22,0,39,1,1,18,1,10,2,16,0,8,1,26,5,392,1,30,1,4,8,1,1,1,1,31,1,4,1,4,0,20,1,18,0,7,3,1,5,5,410,0,1,3,1,0,6,5,1,3,4,3,13,12,0,2,2,0,1
CELL0308,4,7,95,14,0,2,1,0,5,2,3,1,61,0,6,7,0,6,9,4,1,4,15,8,0,6,4,0,4,10,1,1,1,7,5,3,3,8,1,4,6,2,4,5,5,0,0,1,4,3,11,6,602,0,0,5,232,2,6,16,17,4,0,60,4,3,0,6,102,2,3,3,28,0,4,6,566,36,3,3,2,20,6,0,0,0,5,1,5,5,5,7,0,0,89,3,7,0,3,5,4,516,6,2,2,5,1,2,4,0,3,1,0,8,568,0,1,7,0,1
CELL0309,3,8,1,2,9,2,3,0,1,1,2,2,22,1,3,0,0,5,2,0,5,0,0,5,1,0,11,1,2,2,1,0,1,2,0,1,0,0,0,0,13,3,0,3,2,1,0,3,2,3,0,1,166,0,1,0,6,1,1,12,18,0,2,6,0,0,4,2,28,2,0,1,5,4,0,2,2,112,0,0,1,3,0,2,0,1,0,2,1,10,1,9,0,6,3,16,4,1,1,0,3,5,5,24,0,0,2,5,3,0,3,0,1,7,4,2,0,4,0,2
CELL0310,8,5,1,2,5,4,1,37,6,5,8,9,6,1,5,3,19,3,0,1,6,6,5,9,1,6,3,3,3,7,3,3,1,3,0,2,69,0,20,3,5,3,6,7,6,10,28,3,1,3,2,5,0,3,7,3,0,0,4,9,0,3,0,3,3,2,6,1,3,3,14,1,0,2,14,3,4,6,7,4,0,5,4,4,3,59,4,4,6,3,3,1,41,1,1,4,8,1,10,6,4,0,3,9,3,1,7,1,10,13,4,12,7,2,1,4,0,4,49,3
CELL0311,5,7,3,2,6,2,3,3,3,4,7,0,3,0,1,0,2,5,0,2,1,0,2,2,0,2,3,1,2,1,0,0,0,0,0,0,0,2,3,1,0,2,2,3,3,3,0,2,1,0,1,2,12,3,1,3,0,0,3,19,1,1,2,2,0,1,5,1,5,0,1,1,1,0,2,1,3,13,6,0,2,3,2,1,1,2,2,2,4,4,0,8,1,2,1,5,3,5,0,3,2,7,9,6,0,1,7,3,5,0,0,4,0,0,0,4,0,2,2,3
CELL0312,3,24,3,2,12,2,29,0,3,2,4,2,17,0,4,4,0,6,2,1,2,4,6,2,4,1,1,2,5,1,1,1,2,1,2,3,0,2,0,0,91,0,2,8,1,2,0,1,2,7,5,2,15,2,0,0,33,0,2,3,55,1,0,4,1,7,4,5,38,2,3,3,4,0,0,3,30,31,5,1,0,6,2,1,1,0,4,2,5,5,8,1,0,38,39,15,1,5,1,1,3,2,2,8,4,1,1,2,7,0,8,1,1,5,38,1,1,2,1,3
CELL0313,13,4,1,14,1,0,9,7,1,1,8,4,10,0,3,5,0,3,2,1,1,3,13,4,3,3,2,1,2,2,1,1,3,2,1,8,0,2,1,4,21,6,8,6,1,0,0,3,5,4,0,7,5,3,10,0,12,3,0,20,22,0,12,0,6,4,3,4,18,1,0,2,2,3,0,3,1,21,0,2,0,1,3,0,1,1,0,6,1,14,0,9,1,23,0,183,4,2,1,0,0,3,8,16,3,1,26,0,1,0,3,2,2,0,1,10,1,6,17,3
CELL0314,4,2,0,8,4,1,0,5,1,1,3,1,4,1,2,5,0,1,1,1,0,1,4,2,0,4,9,0,0,2,3,0,0,2,1,0,0,2,2,0,8,1,2,3,0,4,1,6,4,1,1,2,2,0,9,0,0,3,0,30,5,0,13,1,1,0,2,1,1,1,2,4,0,5,1,2,0,8,0,1,0,2,3,4,1,10,0,0,2,17,0,11,1,4,0,7,0,1,0,1,5,0,10,16,6,0,6,4,1,1,1,10,0,5,0,15,0,1,11,3
CELL0315,4,7,0,13,1,0,3,45,1,1,12,0,6,0,0,2,0,5,0,1,0,6,13,2,1,10,10,8,1,2,4,0,0,5,0,1,4,4,9,0,10,5,1,1,1,13,20,5,1,1,1,6,2,7,29,0,0,2,2,38,5,5,67,0,5,2,2,6,1,0,1,8,1,8,1,8,0,33,1,2,0,4,2,3,2,16,2,5,2,4,2,15,4,1,0,5,2,4,0,3,2,0,14,10,1,3,10,2,1,3,3,22,3,3,0,43,1,3,24,5
CELL0316,11,10,38,2,2,4,14,2,3,1,2,2,38,1,1,6,0,4,1,1,3,1,4,3,1,4,2,0,1,9,2,1,1,2,3,2,0,11,0,1,21,2,3,2,1,7,0,3,6,0,6,7,275,10,1,2,26,0,4,99,92,7,0,17,3,0,1,2,165,6,0,5,5,1,1,7,46,58,11,0,0,2,1,0,6,0,3,4,3,3,0,17,0,38,28,47,2,1,1,2,1,96,9,4,6,3,10,3,2,0,1,6,0,6,61,10,1,6,2,2
CELL0317,5,13,22,15,2,7,21,10,7,7,5,8,5,9,1,12,0,17,2,7,2,1,2,6,5,3,1,0,0,8,2,0,2,7,0,6,3,2,4,1,17,9,2,8,1,9,0,18,1,6,21,9,50,13,0,0,8,2,8,20,9,3,3,4,4,1,4,8,10,2,6,4,1,6,2,8,9,17,7,2,2,23,2,0,1,1,1,2,8,10,0,13,4,19,6,3,9,10,4,3,4,2,10,10,3,5,7,9,4,0,3,10,3,11,15,3,5,3,8,2
CELL0318,0,2,8,20,1,9,2,0,5,10,16,5,1,0,3,5,43,8,3,0,3,4,2,1,3,3,1,0,3,11,0,7,3,1,0,4,124,0,8,4,1,3,1,1,22,5,7,1,3,2,29,7,0,0,1,10,74,1,3,2,0,78,0,17,2,5,16,11,0,5,36,0,0,1,22,3,45,0,57,4,3,13,1,0,5,0,67,0,1,0,3,2,83,0,3,0,3,6,3,3,3,185,0,2,1,1,3,6,1,7,3,1,9,10,2,3,0,3,0,4
CELL0319,2,2,2,8,3,3,1,0,1,4,1,6,4,0,0,3,8,3,1,0,1,3,3,0,2,2,0,1,1,4,2,3,2,4,0,9,7,3,3,1,1,1,3,1,9,4,0,7,4,3,8,2,8,0,0,0,5,5,1,1,1,9,1,12,4,0,10,1,5,3,3,1,2,1,5,3,148,9,20,5,4,10,4,1,6,1,4,2,4,1,2,1,25,0,4,0,2,1,1,2,3,61,1,0,0,3,0,8,2,2,4,12,4,1,4,0,0,3,0,1
CELL0320,2,3,4,11,0,2,5,26,1,3,23,4,7,0,0,4,1,1,0,0,3,3,1,2,4,6,0,0,3,1,4,8,1,1,1,2,7,4,1,1,3,2,2,9,7,3,1,1,0,5,5,3,20,0,1,1,6,0,4,13,7,2,0,5,0,1,6,2,10,1,7,0,3,0,0,3,46,2,9,1,0,1,1,0,1,0,6,2,4,1,1,6,9,2,4,0,3,0,1,1,7,64,3,2,1,0,1,5,2,0,0,1,0,2,8,1,3,4,2,3
CELL0321,0,16,0,0,2,3,17,1,5,2,7,4,9,0,0,1,1,1,2,0,1,1,1,8,2,6,0,1,0,3,1,2,0,4,0,2,0,2,0,1,14,1,1,4,2,2,0,8,0,3,9,2,179,4,1,2,16,0,1,13,9,1,0,8,4,3,8,2,13,2,1,0,2,0,0,6,35,4,1,4,1,1,1,2,0,1,1,1,0,1,4,4,1,5,19,5,4,1,0,5,2,17,1,1,0,2,3,2,3,0,5,3,1,1,41,1,2,0,1,4
CELL0322,2,2,1,0,2,1,4,2,0,1,1,2,3,0,1,0,0,3,2,3,5,5,4,3,1,0,1,0,2,4,0,1,3,3,0,2,0,1,1,0,1,2,2,0,2,3,0,4,2,1,0,2,4,1,3,1,3,1,0,17,5,1,2,1,2,1,2,0,13,3,0,3,0,9,1,2,4,7,0,0,2,1,1,2,2,0,1,0,2,2,2,3,1,7,0,10,2,2,1,0,3,4,3,2,1,2,6,0,1,0,2,0,0,1,2,1,0,5,1,3
CELL0323,3,3,4,4,0,3,4,0,0,0,1,3,7,2,3,0,0,0,2,1,1,1,1,2,1,4,1,3,0,3,1,0,0,2,1,6,0,3,0,3,16,2,0,3,2,2,0,4,1,5,13,4,24,2,0,0,13,3,3,21,5,0,1,2,2,0,6,1,7,3,3,0,1,3,0,4,49,3,5,2,2,3,1,1,4,3,2,1,8,4,2,7,0,13,1,10,4,0,1,1,3,21,3,5,1,0,7,4,3,0,3,7,2,3,23,5,1,1,2,3
CELL0324,9,5,7,1,6,8,102,1,4,2,22,2,45,1,0,3,0,2,0,3,2,9,10,4,5,4,2,1,1,10,0,3,3,9,1,7,0,2,0,1,17,4,1,0,0,0,0,2,2,7,10,4,237,6,4,0,66,1,2,79,35,3,1,9,0,3,1,0,165,0,2,2,7,0,0,3,18,212,0,3,0,1,0,0,0,1,4,4,0,5,3,8,1,29,27,11,7,2,0,2,5,20,2,4,0,2,3,6,3,0,8,3,0,5,166,2,4,7,1,5
CELL0325,2,1,16,1,1,9,34,0,7,0,11,1,7,0,2,4,0,5,0,0,3,7,0,3,0,0,0,2,3,5,2,3,0,1,0,3,0,6,0,4,14,1,2,4,6,1,0,5,1,3,2,2,290,3,0,0,13,1,0,6,8,0,0,42,4,0,0,3,13,1,3,2,29,0,0,1,308,46,2,0,1,1,3,1,0,0,2,1,3,0,2,4,0,17,76,12,2,1,2,3,4,260,7,6,0,0,0,4,2,0,3,1,2,2,52,2,3,7,0,2
CELL0326,18,1,0,0,5,2,6,20,1,2,5,5,3,5,2,2,0,7,5,2,1,5,15,5,2,7,8,6,1,4,3,1,2,3,0,4,1,4,3,2,1,1,1,0,3,2,6,6,4,9,2,3,0,2,10,0,0,2,6,4,2,0,15,1,5,2,3,3,6,3,2,3,2,2,4,4,0,114,0,3,5,4,2,1,1,89,1,3,4,34,1,13,3,1,0,68,5,2,0,3,5,0,16,25,7,2,18,5,6,5,2,3,2,6,0,6,2,9,173,1
CELL0327,6,3,2,2,1,11,1,6,8,2,18,0,2,3,3,3,3,5,7,0,6,6,3,8,1,1,1,3,1,5,6,1,3,1,3,3,3,2,7,2,1,5,1,2,3,1,2,3,2,5,7,6,0,5,7,0,0,1,0,4,1,0,14,3,3,1,3,4,2,2,0,0,0,3,12,4,1,0,3,0,2,4,6,0,1,13,4,2,2,4,2,5,8,3,1,1,10,3,2,3,1,1,4,0,4,2,0,2,4,27,4,7,5,8,0,0,1,1,15,0
CELL0328,0,4,1,7,3,7,2,4,0,5,4,3,11,2,0,1,1,3,3,0,1,6,5,6,2,5,1,4,0,12,5,1,0,7,2,6,6,4,16,5,0,1,1,2,10,4,0,1,0,3,1,5,3,2,3,3,14,0,5,22,2,5,0,7,2,2,1,2,10,3,3,2,1,2,8,6,12,8,13,0,2,6,3,5,2,1,4,8,8,6,2,2,1,1,2,0,9,2,1,3,12,26,4,3,1,3,1,4,3,1,4,20,3,6,9,7,2,8,1,2
CELL0329,1,1,6,1,12,1,2,2,2,0,2,1,2,1,3,3,1,13,4,1,2,8,7,0,0,4,2,1,1,1,1,2,4,2,1,9,0,2,6,2,0,5,0,1,0,3,1,0,3,7,0,1,57,2,1,0,0,1,1,20,1,1,0,3,3,0,1,1,11,1,1,1,9,1,5,3,2,154,7,4,1,3,1,1,4,28,4,1,1,9,1,22,1,2,0,0,7,0,1,1,2,0,2,2,2,0,3,2,1,1,3,13,0,2,1,8,1,1,10,7
