# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0403,5,2,9,15,46,1,8,3,15,11,10,1,46,7,23,4,0,10,2,1,2,6,13,24,2,25,14,0,28,7,0,2,40,1,5,29,149,9,5,3,9,7,4,3,7,2,7,4,9,7,4,2,0,8,5,2,5,6,4,3,13,7,16,17,3,3,1,5,0,3,5,0,16,2,0,0,8,17,3,2
CELL0404,1,3,18,11,12,2,4,2,5,13,3,3,4,4,2,4,1,4,3,8,1,3,15,10,2,8,5,0,2,1,3,5,5,0,0,3,2,3,7,0,12,1,21,0,0,1,0,10,3,14,0,4,7,10,3,3,14,2,1,4,71,12,11,2,11,30,11,0,8,2,2,58,0,1,10,40,1,3,4,7
CELL0405,6,1,10,21,55,1,4,7,11,4,7,1,42,10,23,3,3,4,2,0,4,3,13,33,0,16,12,0,26,6,0,1,24,0,0,19,132,10,5,4,10,11,4,5,10,1,4,3,9,5,5,2,3,8,4,8,4,9,4,2,9,4,18,6,3,3,1,5,0,7,1,1,21,3,1,0,5,19,3,3
CELL0406,3,1,6,4,8,1,1,1,7,4,4,3,12,4,7,3,12,8,7,20,5,0,7,2,2,2,21,3,3,9,1,1,1,1,2,3,2,6,0,1,2,3,0,18,3,3,1,3,0,8,22,1,2,7,2,1,11,1,1,18,5,1,6,3,2,9,10,3,2,5,2,0,4,23,18,5,2,1,2,18
CELL0407,3,3,24,18,16,7,6,8,10,19,7,17,0,6,6,2,1,4,2,20,5,0,29,12,1,10,11,4,3,4,10,6,3,2,0,6,0,5,7,0,14,2,26,0,0,7,2,17,9,8,0,7,7,22,2,5,23,0,1,7,89,5,18,0,21,32,19,0,10,5,2,55,1,6,5,57,2,5,3,12
CELL0408,1,1,4,8,5,1,1,1,7,8,8,4,8,3,10,6,11,7,8,23,3,0,9,4,5,4,20,1,1,12,0,6,0,3,5,2,0,1,0,5,0,1,4,27,5,2,4,2,0,12,26,0,4,9,1,1,15,2,1,12,10,5,9,8,5,10,11,8,2,3,3,1,2,12,21,5,5,1,0,20
CELL0409,4,4,6,15,23,0,9,1,5,3,6,0,33,2,15,3,1,3,1,0,2,3,8,18,2,11,10,0,24,2,3,1,31,0,1,13,91,6,1,2,9,5,1,1,4,0,2,4,9,4,2,3,0,5,2,1,4,8,0,2,5,4,13,8,1,1,4,4,0,3,1,0,8,6,0,1,3,16,1,1
CELL0410,4,0,4,3,6,1,1,2,3,3,3,3,10,0,9,0,13,8,8,13,2,0,7,4,3,3,17,2,3,7,0,0,1,1,3,3,0,0,0,0,2,1,3,19,5,1,2,1,0,7,21,6,6,5,3,1,9,3,1,13,2,3,6,5,3,4,9,4,1,2,4,0,2,25,15,6,1,1,2,13
CELL0411,1,2,8,15,8,4,1,2,4,13,0,5,0,5,6,2,3,3,1,8,3,1,9,7,1,3,5,1,0,1,5,4,2,1,2,2,0,4,2,0,6,1,19,0,0,3,0,6,4,4,0,4,3,10,0,2,11,1,1,8,48,7,5,0,19,17,6,1,1,4,0,32,1,3,4,22,1,4,2,5
CELL0412,3,2,6,5,2,0,0,2,4,3,4,8,10,2,5,3,14,7,12,17,6,1,11,1,3,3,37,5,3,14,1,1,0,3,6,6,0,0,0,2,1,0,5,35,0,1,5,5,0,3,19,2,1,1,4,0,17,2,2,18,7,2,1,6,1,4,10,4,1,4,3,1,3,15,18,3,1,3,1,14
CELL0413,8,13,3,1,8,7,0,10,1,2,0,2,7,0,21,3,0,2,1,10,44,6,2,0,2,1,1,2,1,4,6,1,9,0,2,0,0,2,1,3,7,0,4,7,0,0,21,20,3,0,2,2,6,5,16,3,0,1,11,3,8,18,24,9,17,8,11,0,2,8,9,9,2,2,0,0,15,9,7,7
CELL0414,5,8,7,13,9,0,7,3,13,6,13,8,25,6,18,2,29,8,7,35,10,1,12,10,9,4,47,6,9,15,1,2,1,3,8,8,3,4,2,4,2,4,7,44,7,4,5,11,4,18,45,6,3,18,5,3,28,3,1,31,8,5,9,12,6,11,22,5,4,5,4,3,3,37,28,11,9,5,8,27
CELL0415,5,1,12,21,65,1,11,5,15,7,7,4,47,11,34,7,1,9,1,1,1,11,23,30,0,18,20,0,21,2,0,0,42,1,1,21,163,5,3,3,19,4,3,4,11,2,6,6,8,7,8,2,2,11,11,5,2,9,9,5,17,7,17,10,7,6,3,7,0,4,4,0,11,7,0,0,9,15,1,3
CELL0416,5,4,1,0,5,5,1,12,2,2,0,0,7,1,22,1,0,0,1,5,26,7,1,1,2,0,0,2,0,2,4,2,3,1,1,0,1,1,6,2,4,3,1,4,2,3,9,13,1,0,5,0,5,3,10,3,1,0,15,7,11,11,25,10,18,12,9,0,2,2,6,6,4,2,2,0,17,9,2,12
CELL0417,8,7,0,5,7,0,0,9,3,1,0,1,3,0,21,0,1,3,1,7,18,6,0,0,2,0,0,1,0,2,10,2,3,3,1,1,0,1,2,6,3,0,1,5,3,5,16,9,1,2,1,3,9,3,14,2,0,0,5,1,12,14,25,7,8,8,15,1,3,6,3,6,1,1,1,0,15,4,5,4
CELL0418,1,2,9,15,43,0,10,3,8,4,6,3,44,5,21,5,1,5,1,2,6,6,14,28,1,11,15,0,23,3,0,1,35,2,2,9,140,15,6,4,8,6,2,6,10,1,4,4,4,7,5,1,2,11,4,2,5,7,7,5,11,9,7,11,2,3,2,4,0,3,1,0,11,6,1,0,5,28,4,2
CELL0419,4,3,5,4,7,0,2,2,7,7,8,5,7,1,6,2,13,11,6,11,4,1,12,6,8,1,32,0,7,7,0,2,0,0,7,0,0,0,0,0,1,2,5,21,5,0,5,5,0,9,19,4,3,7,2,2,12,0,0,14,1,1,2,7,0,7,17,4,3,3,3,0,1,14,12,5,0,4,3,20
CELL0420,5,1,7,12,35,0,10,0,6,4,11,7,37,4,17,4,0,3,1,1,2,6,13,23,0,15,12,0,15,3,3,0,22,0,0,20,110,4,3,3,8,6,2,5,5,0,1,4,7,4,6,1,2,5,6,6,4,7,1,4,13,7,6,10,0,0,3,2,0,4,1,0,9,4,1,0,7,14,1,1
CELL0421,2,3,10,16,42,1,10,3,9,11,9,5,42,9,25,7,0,4,0,0,2,6,12,40,1,15,22,0,21,2,0,0,46,1,1,27,141,7,6,3,5,5,0,5,13,4,6,3,3,7,6,1,1,7,6,4,2,6,4,5,9,8,14,16,2,4,3,5,0,6,3,0,9,12,1,2,8,25,2,1
CELL0422,8,6,31,27,25,8,8,3,13,35,9,12,3,12,7,7,3,0,6,22,2,1,34,22,1,20,23,5,5,2,19,4,13,3,0,2,4,8,14,0,13,3,20,1,0,4,0,10,10,20,1,13,9,30,2,4,30,3,1,6,97,19,26,4,34,41,28,6,13,5,7,104,4,1,17,63,2,1,4,9
CELL0423,7,2,7,13,32,1,9,4,10,4,6,1,30,3,16,2,1,2,0,3,0,1,9,21,2,8,5,1,9,2,0,1,30,1,3,20,104,12,2,3,4,5,2,4,4,4,4,4,2,7,4,2,1,6,5,4,4,5,3,6,12,1,11,4,2,2,2,6,0,9,2,0,6,5,1,0,2,12,4,1
CELL0424,27,19,1,12,2,11,8,0,14,11,1,7,1,1,2,2,5,7,4,1,0,4,1,8,6,0,12,17,1,34,1,12,0,10,3,3,2,1,5,1,27,19,0,2,1,2,4,8,0,14,21,16,3,3,0,0,3,4,10,9,1,11,0,2,6,0,0,5,11,1,15,21,2,3,4,14,0,10,4,1
CELL0425,2,0,6,9,5,2,3,5,3,11,15,4,9,1,11,2,20,14,10,17,6,1,2,3,10,7,37,3,8,8,1,1,0,3,4,4,1,2,2,0,1,3,5,48,7,2,3,9,1,11,47,4,4,8,1,2,16,3,1,18,6,4,9,8,6,12,17,2,3,3,3,1,3,17,23,6,4,4,9,19
CELL0426,6,9,3,2,18,5,0,22,3,3,0,2,15,5,48,2,1,4,5,10,45,8,4,2,1,7,0,4,1,5,16,2,5,4,2,0,3,8,5,9,10,1,5,7,1,8,20,28,2,3,2,3,23,11,27,5,2,2,16,10,36,13,46,19,21,14,24,0,8,18,3,20,2,2,1,2,20,22,5,15
CELL0427,3,6,10,5,6,0,2,3,5,9,9,5,15,2,8,0,18,5,12,22,6,1,12,2,8,2,32,3,5,10,0,2,1,2,6,5,1,3,1,1,1,3,5,29,2,0,1,3,3,13,38,2,2,10,1,1,18,1,2,23,6,2,7,11,8,7,22,7,1,4,4,1,7,35,23,6,3,1,3,22
CELL0428,0,1,5,8,12,0,4,1,7,4,8,4,12,1,7,2,20,15,8,22,5,1,7,5,3,1,35,5,8,13,0,7,0,4,9,2,1,0,0,0,3,2,9,34,3,1,1,10,3,14,31,1,6,8,7,1,24,3,0,14,4,2,7,8,3,9,19,9,3,2,2,1,7,16,20,11,5,5,3,16
CELL0429,1,4,13,12,4,1,1,1,2,12,3,3,1,9,1,1,1,4,3,11,3,2,16,7,1,9,11,1,6,2,6,1,5,0,0,1,0,5,5,0,4,1,12,0,1,2,1,8,2,2,0,4,4,17,3,2,10,1,0,7,52,7,8,4,16,15,5,1,4,5,0,39,1,0,3,34,1,3,4,3
CELL0430,5,5,26,26,17,9,7,2,13,21,5,11,5,10,2,5,0,9,10,18,6,4,27,17,4,12,14,2,7,1,11,4,3,4,1,0,4,5,9,1,14,10,23,3,1,4,2,13,6,15,0,8,10,24,0,4,29,3,1,10,121,11,16,1,38,37,26,1,7,7,1,91,0,2,13,80,2,5,5,12
CELL0431,17,9,0,5,0,14,1,1,11,5,0,6,2,3,0,3,5,0,6,1,1,1,1,6,1,1,10,17,1,27,2,11,2,2,0,1,4,4,3,2,10,12,1,2,2,4,3,11,4,10,13,13,6,1,0,3,4,2,5,6,2,7,2,1,9,2,4,3,11,0,12,27,3,1,4,8,0,15,5,3
CELL0432,3,4,30,31,25,8,2,3,9,29,6,6,2,9,4,4,2,7,5,22,4,8,28,18,2,20,18,6,10,1,10,5,6,0,0,2,3,8,10,0,12,3,32,1,1,3,0,5,11,18,1,14,13,29,1,8,30,3,1,9,132,12,24,1,38,32,20,4,8,14,7,88,2,2,12,62,1,4,9,8
CELL0433,7,3,14,10,9,1,1,1,4,7,11,3,22,1,8,2,21,10,8,34,7,0,4,9,2,2,40,7,5,18,0,3,1,1,7,4,2,3,0,2,2,3,4,31,1,2,1,7,0,13,31,2,4,11,2,2,21,0,1,15,5,1,4,8,5,7,18,9,0,0,3,1,4,20,32,2,4,4,2,18
CELL0434,4,3,7,5,9,4,1,2,3,15,8,2,16,0,13,0,24,10,10,13,6,0,7,9,6,4,32,5,4,18,0,3,1,1,9,7,3,2,0,2,3,6,6,43,4,1,1,5,1,18,37,1,7,8,2,3,27,1,1,19,5,4,6,4,7,16,23,9,2,1,5,1,9,33,32,6,4,3,3,22
CELL0435,9,2,2,6,3,0,1,0,4,7,3,2,4,2,6,0,11,4,8,14,4,0,7,4,3,1,11,4,2,10,1,4,1,1,2,2,2,0,1,0,1,1,3,22,4,2,1,4,0,7,17,1,1,4,0,1,12,1,0,5,7,0,2,1,4,6,9,7,2,4,4,1,1,12,13,2,1,1,1,11
CELL0436,5,1,6,10,5,1,3,3,3,10,9,2,12,3,10,2,14,5,6,20,3,0,8,3,3,2,29,2,3,16,1,0,0,4,3,4,3,3,1,1,2,3,2,30,2,5,5,2,1,13,27,4,5,7,3,0,18,3,1,20,6,3,5,7,4,7,19,3,4,3,2,0,1,28,25,2,3,4,3,27
CELL0437,3,3,10,14,46,1,14,9,8,4,11,2,40,10,21,5,1,7,2,0,3,5,12,25,1,19,11,0,18,2,0,0,30,0,0,22,140,4,1,2,10,4,4,4,6,1,1,6,8,3,6,1,3,4,5,3,7,8,3,1,11,6,11,17,2,0,1,2,2,2,3,0,11,4,1,0,5,23,3,0
CELL0438,2,1,5,10,7,2,2,2,7,10,9,5,9,0,7,1,23,8,7,21,6,0,11,10,8,5,35,3,3,21,0,0,0,4,13,1,4,2,2,5,3,1,3,24,4,3,4,3,1,16,28,0,3,6,2,1,17,5,1,15,8,2,10,11,6,13,13,3,3,2,1,0,2,24,30,2,1,3,1,24
CELL0439,8,2,5,7,6,1,5,2,8,4,9,7,12,1,14,1,20,9,15,19,2,2,8,8,3,1,34,6,3,24,0,4,1,5,9,4,1,4,1,1,5,3,5,30,6,3,1,11,1,13,31,4,4,8,2,1,16,4,0,19,3,1,5,7,4,9,19,4,2,4,2,1,3,22,21,2,0,3,6,26
CELL0440,8,16,1,5,9,5,1,20,5,0,0,2,13,3,34,7,0,6,7,6,37,20,3,0,4,5,0,2,1,2,16,1,5,1,6,0,2,9,3,8,13,0,4,5,3,14,29,26,4,3,5,1,21,8,31,6,1,2,25,5,36,25,44,16,20,12,20,2,4,16,7,11,4,3,6,1,19,19,1,13
CELL0441,5,0,1,2,8,1,1,3,3,4,5,4,6,1,2,1,5,7,7,12,2,0,3,3,7,0,15,1,1,11,0,2,0,1,3,2,1,2,1,1,1,2,4,15,0,0,3,2,0,4,19,1,2,4,1,3,12,0,0,10,4,2,1,4,4,6,6,3,2,1,1,0,2,13,21,0,2,2,3,7
CELL0442,16,12,0,9,0,11,10,0,22,3,0,12,1,3,2,0,9,3,3,0,2,0,1,9,0,0,14,18,0,24,3,13,2,2,2,0,3,2,4,1,12,15,1,1,1,4,2,11,2,10,19,7,4,2,2,3,3,4,12,3,1,13,1,1,4,0,1,2,8,0,10,13,1,3,2,13,2,14,2,2
CELL0443,6,1,3,7,7,2,3,0,10,15,8,6,9,0,8,0,22,15,10,21,4,2,9,5,6,5,33,2,4,14,1,1,3,4,11,4,1,1,0,3,3,4,3,27,1,0,1,5,4,11,29,5,5,12,2,1,13,5,2,17,3,4,7,10,5,8,16,6,4,3,0,0,4,29,32,11,5,4,0,28
CELL0444,7,15,4,1,8,4,2,14,1,0,0,0,13,3,32,4,1,3,4,11,28,11,2,2,1,2,2,1,0,9,7,1,2,0,2,1,0,4,2,7,3,2,2,7,2,8,15,16,1,1,2,1,6,12,15,6,0,0,10,10,17,16,32,8,18,9,9,1,3,6,4,18,2,0,2,1,15,14,2,10
CELL0445,2,2,1,4,3,0,0,4,0,5,1,4,4,1,5,0,8,3,5,11,0,0,1,4,2,2,24,4,3,3,0,0,0,2,2,3,0,2,1,0,0,1,4,12,1,2,0,5,0,3,22,0,3,4,1,0,7,0,0,15,2,4,1,4,1,6,6,2,2,1,0,0,0,9,10,1,1,3,0,15
CELL0446,9,1,7,4,6,1,2,2,3,5,7,6,10,3,14,0,12,7,8,18,9,0,5,9,3,1,29,3,4,8,0,5,1,3,6,6,1,3,1,2,4,1,4,27,3,2,1,7,1,6,34,1,5,3,3,1,9,2,0,16,5,4,7,5,5,8,11,4,4,4,1,2,5,24,22,3,2,3,7,18
CELL0447,9,2,11,7,6,0,4,1,5,10,7,8,19,1,12,0,23,17,6,33,6,1,14,9,4,3,37,2,6,23,0,6,2,2,8,8,1,3,2,1,4,3,8,39,3,3,5,5,0,19,26,5,9,9,2,1,13,1,3,18,5,5,7,10,6,9,21,7,2,1,5,1,4,35,33,6,3,6,4,19
CELL0448,16,8,1,10,2,9,2,0,15,8,0,5,2,1,0,1,4,1,10,1,0,1,0,4,2,4,14,21,2,25,5,6,3,3,0,3,3,4,2,0,11,11,2,0,6,1,3,5,1,14,8,9,4,2,2,0,2,6,9,4,1,6,1,2,5,2,0,2,9,0,3,16,0,1,3,8,0,12,2,3
CELL0449,3,18,1,1,16,7,0,16,3,1,1,3,12,4,35,4,1,2,4,4,57,14,3,2,6,6,2,1,1,4,10,0,6,0,4,1,0,8,6,8,10,1,4,5,1,5,18,23,3,3,6,1,8,13,28,5,1,1,11,10,31,22,31,14,26,14,20,1,2,19,6,18,2,2,1,0,27,22,1,10
CELL0450,5,6,10,11,40,1,5,4,5,7,7,3,38,5,19,6,1,0,1,1,1,3,16,37,0,23,9,0,12,4,0,2,34,0,2,28,131,18,3,2,6,10,4,3,7,2,0,7,9,4,6,2,1,5,4,5,2,11,2,2,6,7,9,12,3,2,3,2,1,3,3,1,12,7,0,1,7,16,2,2
CELL0451,5,3,27,25,16,5,6,4,10,21,5,13,3,5,6,4,3,4,2,21,0,7,27,18,3,9,5,5,7,6,12,10,6,4,1,1,3,5,9,0,17,2,22,1,1,6,0,12,9,14,1,14,10,24,2,5,20,1,0,7,102,10,14,0,25,30,19,3,3,11,6,78,1,0,11,54,0,1,4,13
CELL0452,4,0,13,13,18,12,3,6,6,15,0,4,2,10,5,1,0,2,1,7,1,2,6,13,0,12,6,2,1,1,6,4,2,2,0,1,2,6,5,0,7,2,13,3,0,3,1,8,3,9,2,6,4,24,1,2,12,1,1,4,85,8,9,2,23,28,13,3,5,2,2,75,0,2,10,37,2,1,4,9
CELL0453,27,23,0,9,1,21,4,2,25,7,1,5,1,3,1,3,13,1,14,2,0,0,1,6,7,2,20,29,1,48,1,11,5,10,0,3,3,2,5,1,23,5,0,0,4,2,4,8,1,19,19,20,7,0,1,3,3,5,13,3,1,7,2,0,4,1,2,2,7,1,15,23,0,3,5,17,3,18,2,3
CELL0454,5,2,8,16,39,0,13,2,8,5,4,2,41,6,21,10,0,9,3,1,7,8,9,43,1,13,16,0,19,2,0,1,26,0,1,10,122,6,5,3,7,4,4,3,9,0,0,2,12,1,5,0,0,10,3,4,5,6,3,4,8,2,28,11,2,2,4,3,0,2,4,0,10,4,0,0,6,21,1,2
CELL0455,6,3,7,4,5,0,1,0,3,6,8,11,13,3,10,1,14,14,10,18,2,1,7,5,6,3,24,2,2,10,1,3,0,2,7,4,1,1,0,0,3,1,4,22,2,0,3,1,3,9,35,2,3,9,1,0,7,3,0,12,2,3,3,6,2,6,15,1,5,3,4,1,2,22,15,5,3,4,1,18
CELL0456,8,5,13,20,14,7,4,3,5,21,5,4,2,3,5,4,0,1,4,11,5,2,20,15,1,11,8,2,2,2,16,6,7,4,0,1,3,5,4,0,11,1,23,1,0,5,0,8,5,10,2,9,5,23,1,4,20,0,0,4,71,7,8,1,28,18,21,0,4,7,3,62,0,0,16,43,2,4,6,7
CELL0457,3,1,6,7,8,3,3,2,2,3,5,0,14,2,9,2,11,7,4,13,2,1,1,5,2,2,16,2,2,6,0,2,0,1,3,1,0,2,0,1,3,2,1,23,2,3,4,5,0,11,18,0,1,5,0,1,15,1,1,9,3,2,6,6,5,9,12,5,0,3,1,0,0,15,14,4,1,1,1,12
CELL0458,6,7,0,0,10,4,0,9,0,1,0,0,10,0,22,1,0,1,3,2,26,10,1,0,5,2,0,0,0,3,6,1,1,0,1,1,0,5,3,3,3,1,1,5,1,4,7,14,1,0,2,1,7,4,8,4,0,2,12,5,13,10,14,12,10,5,16,0,2,7,3,7,1,1,5,1,21,3,1,2
CELL0459,6,2,19,26,17,8,1,4,10,13,8,9,0,3,7,2,3,1,2,9,1,3,16,11,1,12,9,0,2,2,5,5,3,4,0,1,5,3,7,0,11,2,17,0,1,5,1,8,2,13,0,13,4,23,1,4,23,2,2,4,92,13,11,0,21,34,9,1,4,2,4,65,1,2,8,48,0,0,2,6
CELL0460,20,20,1,5,6,8,4,0,19,11,0,8,3,2,3,0,1,1,12,1,0,1,0,4,2,2,17,25,1,26,2,9,3,5,1,3,2,4,3,2,21,10,5,0,5,4,4,17,2,14,18,18,7,2,1,1,1,3,12,3,2,7,0,1,4,0,1,3,14,0,9,12,0,1,3,11,1,13,4,2
CELL0461,10,3,11,9,33,0,9,4,9,3,4,7,35,8,20,4,2,0,4,0,2,8,14,39,2,11,16,0,17,4,1,1,43,2,3,24,135,13,2,4,15,6,2,2,10,2,3,3,8,7,9,1,3,11,5,3,4,7,4,3,15,6,13,13,2,4,2,5,0,1,2,1,9,3,1,0,4,25,1,3
CELL0462,7,5,7,17,52,2,9,1,13,12,15,10,54,7,27,6,2,8,2,0,3,4,12,36,3,17,22,1,16,4,0,0,29,1,1,23,164,13,5,2,15,9,4,6,14,0,5,9,10,6,6,2,1,12,7,6,1,12,10,6,4,4,21,19,3,1,4,5,2,5,1,0,19,3,2,0,10,27,4,0
CELL0463,1,2,6,9,4,0,3,3,7,4,2,3,8,3,7,1,14,7,3,19,8,0,7,8,4,1,25,1,4,6,0,1,1,1,4,4,1,1,0,1,3,0,2,23,2,4,3,4,0,8,29,0,1,6,3,1,8,1,1,11,9,1,6,8,5,6,16,3,2,3,3,0,1,28,21,8,4,6,2,18
CELL0464,1,2,11,6,6,0,1,2,6,9,6,3,7,2,4,2,17,7,8,17,2,3,14,2,4,3,19,4,2,9,0,0,3,0,3,1,1,1,0,0,0,5,3,23,3,2,2,5,0,8,20,1,5,5,2,0,18,5,0,18,4,4,7,8,3,5,17,3,1,2,1,1,1,16,14,3,4,5,1,22
CELL0465,4,4,29,46,21,11,1,8,9,23,7,7,2,8,3,9,2,1,5,12,2,0,32,11,0,19,16,3,7,1,19,8,4,3,2,1,1,7,8,0,14,7,23,2,0,5,1,14,6,16,2,17,8,26,6,2,24,1,2,7,114,16,14,1,43,30,25,4,12,8,3,89,0,2,12,60,1,7,5,6
CELL0466,9,7,1,2,8,3,1,6,0,1,0,0,12,0,33,2,1,2,0,3,31,17,4,0,1,4,2,3,1,3,11,2,2,1,7,0,1,3,4,7,5,0,0,5,1,4,16,17,2,1,2,4,7,8,17,6,1,0,6,5,7,20,25,9,20,10,18,1,6,8,8,13,1,2,6,3,14,16,2,10
CELL0467,6,4,9,15,45,2,14,3,10,8,8,2,60,10,24,9,2,2,2,0,1,7,16,41,1,14,14,0,20,7,1,1,41,0,1,30,155,12,5,6,9,5,3,5,7,1,2,6,3,8,2,0,4,7,10,3,8,12,4,6,20,7,13,7,1,3,4,6,0,7,4,0,18,7,3,0,3,33,1,1
CELL0468,4,3,11,10,9,0,5,1,10,13,7,6,19,4,6,2,18,11,3,24,11,0,12,9,2,6,33,4,3,13,1,3,0,2,8,4,1,2,1,1,0,3,4,23,3,4,4,7,0,13,33,2,4,6,3,1,24,1,1,25,5,3,6,14,4,8,18,6,2,4,3,0,1,22,27,3,7,1,3,22
CELL0469,5,2,22,18,8,6,3,5,5,20,4,10,1,9,5,1,2,5,4,12,5,5,22,10,0,16,6,3,4,3,7,5,2,3,0,2,3,3,4,0,11,1,20,1,0,8,0,8,8,6,1,12,10,23,1,5,19,1,1,7,79,5,10,2,21,31,19,1,5,8,2,67,1,2,12,56,2,3,5,5
CELL0470,4,4,13,9,14,3,2,2,4,11,2,3,1,4,4,2,1,2,1,10,1,3,15,5,2,7,2,1,3,1,6,2,1,1,0,0,1,7,1,1,9,5,15,0,0,1,0,11,4,4,0,4,6,25,0,2,9,1,0,6,59,6,11,0,15,17,9,0,5,2,0,47,2,2,7,33,0,0,2,10
CELL0471,7,6,10,25,53,1,8,7,10,9,13,7,44,7,28,8,1,7,1,3,7,7,23,40,0,25,26,0,27,2,0,0,51,1,2,29,168,7,4,8,14,10,4,7,18,2,2,4,11,7,9,3,6,8,10,8,3,8,3,2,15,5,30,18,6,4,6,8,1,7,5,0,23,7,0,2,8,31,3,2
CELL0472,25,29,0,10,3,16,10,0,27,14,1,9,1,1,4,4,12,3,21,3,1,3,1,13,3,3,22,33,1,53,6,11,6,5,1,1,4,2,10,5,20,21,1,0,1,6,4,16,0,23,19,16,5,1,2,4,2,6,27,4,1,13,2,4,8,0,3,1,11,0,21,29,0,0,1,19,1,11,6,4
CELL0473,7,10,0,0,5,4,2,11,1,0,0,1,7,1,15,2,1,1,2,3,26,11,3,2,1,2,0,4,0,6,6,0,2,0,2,2,0,0,5,3,6,0,0,2,1,6,10,14,1,0,0,1,11,2,14,7,0,1,9,4,13,12,17,10,11,6,16,0,4,3,7,10,1,0,2,0,13,7,1,9
CELL0474,28,27,4,13,3,18,11,0,26,13,1,8,2,2,4,3,6,2,14,0,1,1,2,12,5,1,18,48,1,76,6,19,10,6,1,5,8,3,7,1,17,19,7,0,5,9,8,14,1,36,23,19,14,6,6,2,10,8,9,7,1,18,4,6,10,3,1,4,14,1,19,33,2,2,3,20,5,23,10,3
CELL0475,1,3,4,8,5,2,4,1,6,7,8,1,15,3,13,2,25,7,5,30,2,0,12,8,6,0,26,4,6,15,0,3,0,1,8,5,2,2,0,4,4,3,4,37,1,5,4,4,1,5,28,2,2,10,1,2,15,3,2,17,2,7,5,7,10,13,18,5,4,0,5,2,5,31,21,5,3,4,2,30
CELL0476,6,7,1,2,5,2,1,9,1,0,0,0,8,2,23,1,0,1,1,3,17,8,1,1,3,1,0,1,0,1,4,1,3,1,0,1,0,1,2,0,7,0,0,3,1,5,11,7,0,0,3,3,6,6,16,4,1,0,5,4,7,10,13,2,8,5,10,0,5,9,1,8,1,0,4,0,11,3,2,4
CELL0477,6,2,6,5,28,1,10,4,12,8,11,0,31,8,13,5,1,0,3,0,0,5,4,25,1,7,18,0,15,3,0,0,26,2,1,15,84,3,2,2,7,7,5,3,5,1,4,3,6,6,4,0,0,9,3,3,4,7,5,4,11,3,13,11,2,4,3,3,1,8,2,1,10,2,2,0,2,16,0,2
CELL0478,2,3,3,5,4,0,0,1,4,1,5,5,9,1,7,1,14,4,8,10,3,2,3,5,3,2,15,1,4,7,0,5,1,3,8,1,0,1,0,1,0,3,1,7,4,2,4,2,1,5,18,2,0,6,1,4,14,1,0,8,5,2,4,7,5,8,15,1,1,2,6,0,2,20,17,3,1,0,3,12
CELL0479,5,2,12,7,12,2,5,3,9,6,13,6,17,1,8,3,18,6,11,24,3,0,6,6,6,3,33,11,3,11,0,3,1,3,11,2,3,3,1,1,0,7,2,34,4,1,4,6,5,12,45,1,11,1,3,0,20,2,0,22,7,2,7,8,4,16,11,8,1,1,5,0,3,31,35,8,5,5,4,23
CELL0480,31,15,0,4,4,14,7,2,18,8,1,9,0,0,0,1,6,2,14,0,0,1,1,7,1,1,14,19,0,41,3,8,2,5,1,4,4,4,9,2,23,18,0,0,2,3,5,11,1,9,19,19,9,3,1,1,1,5,6,6,0,14,0,3,6,2,0,3,12,1,12,15,4,3,2,12,0,17,8,1
CELL0481,5,3,12,21,41,2,15,4,7,8,4,2,49,7,20,3,2,4,2,0,0,5,14,22,1,12,10,0,12,0,2,2,29,1,0,22,136,12,4,3,8,8,2,2,8,0,0,2,4,6,8,2,5,6,2,4,2,2,7,1,8,8,15,8,2,4,1,2,2,5,3,0,13,9,0,0,9,23,2,0
CELL0482,7,5,2,1,13,5,1,13,2,1,0,1,10,2,33,1,1,2,3,9,28,13,3,0,3,5,0,2,0,5,12,1,6,1,2,1,1,1,2,4,7,1,3,9,0,8,11,14,0,2,2,1,12,6,14,6,1,2,10,9,21,11,31,20,17,10,13,1,4,6,6,12,1,0,5,0,17,13,1,10
CELL0483,6,3,8,8,12,2,1,2,13,8,9,8,17,1,3,2,17,11,11,24,3,1,7,4,4,5,21,5,0,11,0,2,2,1,4,3,2,1,0,1,0,1,2,33,3,1,2,7,2,11,27,3,3,5,2,0,17,4,0,28,0,3,4,6,4,9,17,5,1,2,10,0,1,17,15,4,3,3,7,16
